"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"lysine",0.887048039002234,-0.590738195467922,-0.487552922244335,0.412332104434071,-0.565855848405287,0.00909460732253355,-2.33384148413671,1.73464693118647,0.121219870582601,0.566214016275799,-0.272801439016593,0.520234320467143
"linoleic acid",-1.35814312298554,-0.0695284767684648,0.577919972904458,-0.421576681318826,0.0581274536444897,-1.66725157041499,1.63268773590469,1.19758509734221,0.43336970741438,0.273086561160133,-1.1275673957449,0.471290718862361
"lignoceric acid",0.536444506819213,0.248232940261299,-0.111590766765066,-1.73476705637609,-0.506209462767446,0.93754010154058,-1.82404739411862,0.14619967221077,1.06204291911916,0.479646231887876,-0.480812566114418,1.24732087430273
"levoglucosan",0.747493523291141,0.325992841567911,0.143003030954198,1.34398592055497,-0.363181572932749,2.10764054214743,-0.773989065493096,-0.00402642886354539,-1.15783722815362,-0.503040673411401,-0.918563336371811,-0.94747755328944
"leucine",0.581681576721246,-0.663062078405669,0.14475126533682,1.15024502578689,0.134761644270971,-0.739046132228518,-1.46712320868647,0.415457776268266,1.2467026600432,0.350695022922347,-1.92738967397793,0.772326121948825
"lauric acid",1.09101415474013,-1.23081840032615,-0.183078485756901,0.973961278537668,0.65888813631072,1.73228308137003,-0.0111194346242594,-0.522616928333687,-0.912140076011987,0.512115366712201,-0.675205048069283,-1.43328364454847
"lactic acid",-0.586789820346839,0.367481296121934,1.23176343517469,-1.7758925655703,0.0904370561759102,0.788463486491215,1.38975458519278,-1.25409904139996,-0.0720803417534174,0.796727018509364,-1.03539310416232,0.0596279955669283
"isothreonic acid",0.63104588128048,0.00330433792070079,0.0178415124551387,0.636754604084411,1.0616628384535,0.970596981909825,1.69153258486777,-1.03747312755469,-0.889075840249132,-1.24765007088816,-1.19492843003394,-0.643611272245914
"isoleucine",0.639935424425334,-0.00516266774782736,-0.638866572158149,1.03810984090521,0.785077223164957,0.348882577502208,-2.65527281078789,0.498194561278991,0.551625388381377,-0.251056461128811,-0.726728450461616,0.415261946626229
"inosine",0.579621517832559,1.67742614107919,-0.0400244932036126,-0.341719147463089,1.20892415987291,0.779369962288524,-0.22346762763714,-0.0400244932036126,-0.0754583706047203,-2.15525229445628,-0.577405176424972,-0.791990178079762
"indole-3-lactate",0.00714965352499665,1.07176462874311,-0.0604575251407685,0.773866144401131,0.857412000452231,-0.653438013415082,-1.16032475330852,0.245623327092515,0.600411121346008,1.04664110119411,-2.23069974524733,-0.497947939642402
"indole-3-acetate",1.57731627390448,-0.587810055099306,0.0979242021595395,-0.851989799666184,1.06107782994916,0.7005601369733,-1.27048798746523,0.630972200100678,-0.955856057441254,0.727341205705398,-1.49244637568191,0.363398426561329
"ibuprofen",-0.241725076145257,-0.709167526293728,1.19461112151663,-0.0518357164874981,-0.970145333133892,1.05738434649713,1.8041165011143,-0.468002557057368,-0.361276614124834,0.603833574416994,-1.72102283178412,-0.136769888518353
"hypoxanthine",0.0453403839115164,1.00149963381552,0.486920697285084,0.887887583665177,-0.129134394705814,0.720456560153109,0.577883404298866,-0.927009118478462,-1.08709152684179,1.33101341221145,-1.62645218908302,-1.28131444623164
"hydroxylamine",-0.0981554526823733,1.42824837775064,-0.158258480271723,-1.35535236327173,0.603373285075469,1.47576506787786,-1.12019007458715,1.35054018207706,-0.643312454843347,-0.0726446685272789,-0.870116941118528,-0.539896477478912
"hydroxycarbamate NIST",0.280816424614847,0.0855565046862888,-0.238004002152271,0.0142033099094017,1.41070304771197,0.271047985945985,-0.267179944407216,0.670041300574055,0.286546603759867,1.12296314737133,-2.21656561425964,-1.42012876375463
"histidine",1.15355016093554,-0.810370154210266,-0.6775381413494,1.21220804193971,-0.742352100268754,0.841360991973587,-1.7825094620647,1.18478697517917,-0.279825285159445,0.644924642797305,-0.858382937360771,0.11414726758802
"hippuric acid",1.02709861035881,0.858763763644718,0.324917423271197,0.570814848696307,1.2407427404939,1.4004748800858,-0.829005601759625,-0.412638701928454,-1.16396606393645,-0.92823761343382,-0.945560614567721,-1.14340367092467
"hexuronic acid",-1.33404446837304,-0.647940660167612,-0.045304898617365,-0.311750207792375,-1.16171630344017,-0.419819418445623,1.40438449477373,0.116595096367264,0.129016745248169,-0.637801324647102,1.97224379065134,0.936137154442782
"hexitol",-0.118450074384622,0.0690777466294464,-0.0061841075184907,0.2171240390763,1.18724559946099,2.01990971098936,-1.48594150859998,0.57976369333692,-1.61997899875424,-0.124219048055001,-0.394583413090923,-0.323763639089765
"hexadecane",0.842363761116913,0.112099893262006,0.64716510198324,0.981723831752202,1.96295967141309,-0.660755208751675,-1.616982644573,0.264808762621941,-0.252691691585228,-1.00167794687086,-0.506205827345395,-0.772807703023223
"heptadecanoic acid",0.941069707461518,-0.166995234056313,0.143031560210878,-1.10470249024492,0.684214330129304,-0.166995234056313,1.11276500990688,0.781050044833468,0.645427117223914,-0.313076271175331,-2.44424167427138,-0.111546865961688
"glycolic acid",0.954569530002019,1.31465811198104,0.251081740247175,-0.0218225146670285,0.499245220156435,1.37206363947637,-1.32662017801762,-0.00896035039369639,-0.731385237078349,0.239113966575753,-0.731385237078349,-1.81055869120376
"glycine",1.00121666175945,0.643893033800094,1.28767421620095,0.535912833306307,0.418581306827367,0.911412303607906,-1.55128029611615,-0.779050454651393,-0.59897554815806,-0.677952442472628,-1.61802710322716,0.426595489123332
