"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"levoglucosan",8.92481250360578,8.4757334309664,8.2807707701306,9.56033283421244,7.74146698640115,10.3739526553702,7.3037807481771,8.12412131182919,6.89481776330794,7.59245703726808,7.14974711950468,7.11894107272351
"leucine",15.9132634306288,15.1506596275704,15.6455740025599,16.2615991275022,15.6394537680967,15.1041072887186,14.658044081134,15.8114248698439,16.3206947962489,15.7717473653274,14.3760575408485,16.0300635883352
"lauric acid",13.1339449137182,11.3542493819452,12.1573469353628,13.0442233356896,12.8027182959832,13.6254805504711,12.2891543537234,11.8970891283128,11.5985178106126,12.690216280422,11.7801296196253,11.199058823653
"lactic acid",16.621193361942,17.1342157246418,17.598859427426,15.9819239873173,16.9852749382168,17.360538489976,17.683796497897,16.2624435817926,16.8979045274115,17.3649810185688,16.3800213170104,16.9687117867252
"isothreonic acid",9.81858217748086,9.467605550083,9.4757334309664,9.82177398197057,10.0593444608244,10.0084286220706,10.4115109880121,8.88569637333939,8.96866679319521,8.76818432477693,8.79766152585376,9.10590850857116
"isoleucine",15.7575202294284,15.3494540211525,14.9485953725534,16.0093912647589,15.8493317914104,15.5734105055076,13.6730881929094,15.6678599788655,15.7016584279467,15.1939103152867,14.8930170597878,15.6153997437255
"inosine",7.33091687811462,8.08214904135387,6.90689059560852,6.70043971814109,7.76155123244448,7.467605550083,6.78135971352466,6.90689059560852,6.88264304936184,5.4594316186373,6.53915881110803,6.39231742277876
"indole-3-lactate",9.23601419190008,9.88569637333939,9.19475685442225,9.70390357344466,9.75488750216347,8.83289001416474,8.52356195605701,9.38154295118458,9.5980525001616,9.8703647195834,7.8703647195834,8.92777796208234
"indole-3-acetate",10.5708044377245,9.05528243550119,9.5352753766208,8.8703647195834,10.2094533656289,9.95710204156229,8.57742882803575,9.90839262077375,8.79766152585376,9.97584796800678,8.42206476617281,9.72109918870719
"ibuprofen",9.48784003382305,9.05528243550119,10.8169836232554,9.66355810421727,8.81378119121704,10.6899979714194,11.3810021095509,9.27844945822048,9.37721053038855,10.270295326472,8.11894107272351,9.58496250072116
"hypoxanthine",8.49585502688717,9.62388149001346,9.01680828768655,9.4898479604393,8.29001884693262,9.29232163280204,9.12412131182919,7.34872815423108,7.15987133677839,10.0126245388651,6.52356195605701,6.93073733756289
"hydroxylamine",16.0323471181215,16.6764943059248,16.0069834526038,15.5018060920017,16.3283944383525,16.6965464976902,15.6010453129165,16.6437012044438,15.8022891591123,16.0431127487787,15.7065769569398,15.8459310248264
"hydroxycarbamate NIST",14.2456269781824,14.1444989258375,13.9769220678511,14.107544031976,14.8308122717449,14.2405677567232,13.9618114080872,14.4472124015727,14.2485947242346,14.6817874451752,12.9521952199141,13.3646818558646
"histidine",12.4589192069676,10.9886846867722,11.0881256921882,12.5028318040667,11.0396045179538,12.2252074369435,10.2609195336629,12.4823037823232,11.3858624006415,12.0781508077346,10.9527412471865,11.680799034573
"hippuric acid",9.43045255166553,9.23840473932508,8.62935662007961,8.90989308377004,9.67419226814568,9.85642552862553,7.31288295528436,7.78790255939143,6.93073733756289,7.19967234483636,7.17990909001493,6.95419631038687
"hexuronic acid",8.25738784269265,9.12670447284319,9.89026427702111,9.55266909751427,8.4757334309664,9.41574176829009,11.7270695580237,10.0953970227926,10.1111356702347,9.13955135239879,12.4465664090661,11.1337844091799
